image_path,statement,id,answer
17358.jpg,I should buy aspire one netbook because the services will race ahead.,ar,
160131.jpg,I should buy this car because it is family friendly.,ar,
17358.jpg,I should buy Aspire One Netbook because it will make me invisible,d1,
176715.png,I should buy this smartphone because I will get a big pen,d2,
60698.jpg,I should buy GE refrigerators because they are affordable and keeps my family safe and happy.,ar,
112447.jpg,I should use Edmonds cooking products because they make cooking a pleasure.,ar,
23781.jpg,I should buy Adidas because they look cool.,ar,
53258.jpg,I should use my hands to wash my face because Estee Lauder is great,d2,
112447.jpg,I should use Edmonds cooking products because they really enjoy cooking.,d2,
65714.jpg,I should order Hanes online because they have free shipping.,ar,
60698.jpg,I should buy GE refrigerators because there are 5 reasons to love ice cold lemonade,d1,
17358.jpg,I should buy this Internet router because Acer makes invincible laptops,d2,
176715.png,I should buy this product to keep up with the latest cell phone.,ar,
160131.jpg,I should buy these water balloons because they are kids friendly,d1,
65714.jpg,I should order Hanes online because they sell cute dogs.,d1,
33163.jpg,I should buy these cosmetics because it's five o'clock ,d1,
65714.jpg,I should order a dog online because it has free shipping.,d2,
160131.jpg,I should buy this hose pipe because kids like to play with it,d2,
33163.jpg,I should buy these cosmetics because cover girls sleep at five o'clock,d2,
25607.jpg,I should buy Heinz beans because five kinds of tomatoes fit well on a plate ,d1,
176715.png,I should buy this smartphone because I like exploring the galaxy,d1,
23781.jpg,I should buy shoe laces because they weight to scale,d1,
53258.jpg,I should use Estee Lauder cleanser because it cleans instantly.,ar,
112447.jpg,I should use Edmonds cooking products because they are great for dancing.,d1,
25607.jpg,I should buy Heinz beans because they taste good and there are five kinds to choose from.,ar,
33163.jpg,I should buy these cosmetics because they last a long time.,ar,
60698.jpg,I should buy GE fruit because my kids love to put it in the refrigerator together with ice cubes,d2,
53258.jpg,I should use Estee Lauder cleanser because it keeps my eyes close,d1,
23781.jpg,I should buy a mirror because it is can reflect my red shoes,d2,
25607.jpg,I should buy Heinz beans because I can save 50% of my budget by using a wooden spoon ,d2,
